Sea_Surface_Temperature,Atmospheric_Pressure,Humidity,Wind_Shear,Vorticity,Latitude,Ocean_Depth,Proximity_to_Coastline,Pre_existing_Disturbance,Cyclone
27.49816048,1008.5214291923,89.27975767,13.97987726,1.98217708420315E-05,8.119890407,76.13762548,1.366176146,1,1
28.40446005,1001.2421773339,60.82337977,19.54864778,8.40820508760401E-05,9.246782214,131.8212352,0.68340451,1,1
27.21696897,995.7426929,77.27780075,9.368437103,0.000063126,7.789877213,181.4650918,0.866361843,1,1
27.82427994,1003.5552788418,67.98695129,12.71351658,6.12793840418941E-05,5.929008254,323.3951834,0.670524124,1,1
26.26020637,1008.4665661176,98.62528132,17.12596022,3.39383080714702E-05,6.95344228,357.9048619,0.940152494,1,1
26.48815294,994.8553073,61.37554084,18.63980603,2.95840982520016E-05,18.25044569,190.2699842,1.020068021,1,1
28.18684112,985.5456337,98.78338511,16.62699235,9.4252399448598E-05,22.89654701,319.0549905,1.421874235,1,1
26.35397001,985.8794859,61.80909156,9.879954961,4.19243425205008E-05,10.42698064,422.9318791,0.856753327,1,1
27.12373804,996.2808825,65.636969,17.03295471,1.20823111495782E-05,24.73773873,397.5101462,0.698715682,1,1
26.02208847,1004.4638428537,88.27429375,15.93510752,7.82706829351648E-05,6.480893035,211.3095778,0.61586906,1,1
29.4524137,998.6989438,73.23592099,5.953375254,3.45433205629879E-05,11.50366644,378.3227803,1.137557471,1,1
29.54885097,994.1664478,64.78376984,15.69867181,7.72745796186053E-05,16.22554395,396.935231,0.993795596,1,1
28.09093132,992.8262306,61.01676507,6.618371405,7.98577264023975E-06,17.72820823,191.4601915,1.008570691,1,1
29.6302659,987.4787669,76.41531692,16.33326708,2.67358257217041E-05,6.539598197,180.3881538,0.661221287,1,1
29.71879061,1004.2436113869,85.33615026,18.07190885,8.13488473054159E-05,8.731401178,451.6515493,1.039342242,1,1
29.22976062,1006.8827389977,72.720139,6.650778868,2.66538404414845E-05,13.54215577,418.1066447,1.360730583,1,1
26.02780852,995.3224191,76.69644013,8.331617157,1.63872098966999E-05,11.75230343,474.3093668,0.823202932,1,1
